c,h,l,o,t,v
39.14,39.35,38.875,39.3,2020-01-02,12985279
38.92,39.24,38.67,38.72,2020-01-03,11193319
38.87,39.0,38.7,38.82,2020-01-06,10206988
38.76,39.13,38.68,39.12,2020-01-07,14328671
39.05,39.22,38.75,38.76,2020-01-08,12580358
38.89,39.27,38.79,39.27,2020-01-09,15754368
39.49,39.625,38.97,38.98,2020-01-10,17304753
39.41,39.772,39.21,39.62,2020-01-13,12669776
40.07,40.08,39.3,39.43,2020-01-14,15092728
40.68,40.87,40.17,40.19,2020-01-15,18559687
40.61,40.795,40.3236,40.79,2020-01-16,12881510
40.51,40.805,40.42,40.57,2020-01-17,18215573
40.36,40.66,40.19,40.38,2020-01-21,33773832
40.19,40.41,39.97,40.32,2020-01-22,28521444
40.71,40.83,40.13,40.19,2020-01-23,41812131
39.83,40.97,39.635,40.94,2020-01-24,58006023
40.15,40.43,39.25,39.41,2020-01-27,24183359
38.13,39.49,37.95,39.32,2020-01-28,57003531
37.585,38.38,37.55,38.12,2020-01-29,28058480
37.06,37.17,36.69,37.1,2020-01-30,25202426
37.24,37.45,36.9,36.94,2020-01-31,22627818
37.5,38.0351,37.3,37.46,2020-02-03,16592344
37.7,38.24,37.63,38.08,2020-02-04,26519927
38.18,38.57,37.82,37.85,2020-02-05,23807790
38.26,38.5,38.03,38.44,2020-02-06,17122070
38.0564,38.4,37.93,38.36,2020-02-07,17385105
37.81,38.22,37.72,38.21,2020-02-10,14166100
38.1,38.13,37.755,37.89,2020-02-11,13421873
37.7375,38.19,37.72,38.09,2020-02-12,18316262
36.94,37.58,36.885,37.58,2020-02-13,16890447
36.5,37.04,36.42,36.97,2020-02-14,16230022
36.31,36.67,36.2676,36.55,2020-02-18,13852437
36.2354,36.5,36.21,36.4,2020-02-19,13855951
35.84,36.06,35.41,35.71,2020-02-20,36690647
35.72,35.82,35.53,35.76,2020-02-21,27517563
34.68,35.395,34.6,35.04,2020-02-24,27975406
33.93,34.74,33.71,34.68,2020-02-25,33619286
34.72,35.21,34.02,34.24,2020-02-26,38159864
34.1,35.71,34.1,34.44,2020-02-27,40170229
33.44,33.94,32.53,33.49,2020-02-28,51304222
34.895,34.95,33.445,33.91,2020-03-02,31505102
34.27,35.78,33.86,35.18,2020-03-03,36634538
36.395,36.46,34.95,35.1,2020-03-04,30776789
35.47,36.18,35.155,35.65,2020-03-05,34614131
35.02,35.17,34.12,34.7,2020-03-06,64187394
33.756,34.69,33.16,33.46,2020-03-09,70410956
34.59,34.66,33.01,34.57,2020-03-10,64923758
32.1656,33.88,31.66,33.76,2020-03-11,106104276
30.01,32.0,30.0,30.48,2020-03-12,103539848
32.755,32.88,30.23,31.27,2020-03-13,96457074
30.16,32.285,29.65,29.94,2020-03-16,81200894
32.17,32.65,30.59,31.64,2020-03-17,89698756
32.4,32.61,30.31,30.77,2020-03-18,66539425
30.45,32.25,30.01,32.22,2020-03-19,99642858
28.9999,30.67,28.91,30.28,2020-03-20,86105376
28.4391,29.58,27.88,28.76,2020-03-23,84903734
29.71,30.05,28.9,29.51,2020-03-24,70698624
29.75,30.72,29.0,29.5,2020-03-25,69723726
31.67,31.99,29.88,29.89,2020-03-26,65936788
30.92,31.74,30.66,30.8,2020-03-27,50042564
32.68,32.845,31.05,31.05,2020-03-30,45336160
32.66,33.0,32.235,32.4,2020-03-31,43484870
31.74,32.28,31.53,31.92,2020-04-01,41700292
32.87,33.0,31.75,31.9,2020-04-02,44997294
33.62,33.89,32.63,32.63,2020-04-03,51347158
34.52,34.9,33.78,33.92,2020-04-06,53675430
33.6,35.17,33.59,35.0,2020-04-07,39733880
34.6,34.8,33.44,33.99,2020-04-08,39620686
35.39,35.7673,34.85,35.03,2020-04-09,46644030
35.15,35.98,34.72,35.96,2020-04-13,29741642
36.44,36.63,35.335,35.93,2020-04-14,33641572
35.98,36.23,35.58,36.06,2020-04-15,32326942
35.87,36.26,35.575,36.12,2020-04-16,34120114
36.895,37.0,36.11,36.5,2020-04-17,42121208
36.08,36.91,36.08,36.38,2020-04-20,33160628
35.62,35.93,35.37,35.78,2020-04-21,40218480
36.31,37.0,36.12,36.96,2020-04-22,30948672
36.71,37.4,36.28,36.28,2020-04-23,33193184
37.3801,37.429,36.785,36.84,2020-04-24,26850168
38.29,38.54,37.57,37.59,2020-04-27,38986382
37.9,39.22,37.375,39.05,2020-04-28,59982108
38.12,38.55,37.71,38.38,2020-04-29,38188960
38.32,38.51,37.36,38.0,2020-04-30,43215889
37.66,37.9397,37.385,37.85,2020-05-01,36707291
37.64,37.92,37.41,37.6,2020-05-04,31634085
38.51,38.86,38.27,38.81,2020-05-05,41135307
38.51,39.01,38.51,38.97,2020-05-06,39735317
36.95,38.49,36.89,38.41,2020-05-07,51235872
37.21,37.38,37.04,37.25,2020-05-08,32261331
38.1,38.21,37.16,37.25,2020-05-11,33280155
37.37,38.24,37.36,38.12,2020-05-12,28575545
37.04,37.425,36.585,37.31,2020-05-13,37430726
37.92,37.96,36.78,36.8,2020-05-14,33167490
37.78,38.17,37.385,37.96,2020-05-15,32518256
38.06,38.46,37.63,38.34,2020-05-18,36707728
37.67,38.02,37.31,37.85,2020-05-19,30468698
37.63,38.2,37.545,37.95,2020-05-20,26846037
37.26,37.65,37.05,37.57,2020-05-21,28639057
37.5,37.53,36.96,37.11,2020-05-22,25875745
37.49,37.87,37.45,37.65,2020-05-26,36564836
37.41,37.54,36.97,37.41,2020-05-27,37066561
38.175,38.44,37.72,37.84,2020-05-28,35354260
38.235,38.43,37.581,38.27,2020-05-29,39445592
35.46,35.73,34.91,35.5,2020-06-01,138250480
36.16,36.16,35.25,35.53,2020-06-02,73948989
36.16,36.41,35.54,36.29,2020-06-03,66072062
36.0,36.29,35.7,35.71,2020-06-04,48252060
35.9975,36.49,35.88,36.24,2020-06-05,64055113
36.56,36.6,35.68,35.8,2020-06-08,51383232
36.23,36.66,36.17,36.5,2020-06-09,35266324
35.93,36.45,35.89,36.36,2020-06-10,47637266
33.325,35.68,33.28,35.6,2020-06-11,106710573
33.457,34.105,33.445,34.08,2020-06-12,23186904
33.37,33.718,32.76,33.3,2020-06-15,55720212
33.46,33.96,32.72,33.59,2020-06-16,98892754
33.55,33.765,33.315,33.59,2020-06-17,47886602
33.24,33.47,32.98,33.27,2020-06-18,56118584
33.47,33.74,33.115,33.69,2020-06-19,53557056
33.11,33.36,32.91,33.33,2020-06-22,16344195
32.77,33.25,32.74,33.2,2020-06-23,32574520
32.2,32.73,32.0,32.71,2020-06-24,25783665
32.3,32.38,31.83,32.11,2020-06-25,22683626
32.04,32.28,31.61,32.25,2020-06-26,27065445
32.65,32.67,32.2,32.46,2020-06-29,19843520
32.7,32.88,32.23,32.53,2020-06-30,19254349
33.74,34.54,33.72,34.54,2020-07-01,61063678
34.51,34.847,34.04,34.62,2020-07-02,40088692
34.51,34.99,34.38,34.95,2020-07-06,23318211
34.03,34.35,33.955,34.05,2020-07-07,21187591
33.75,34.37,33.57,34.01,2020-07-08,21189905
33.47,33.88,33.101,33.73,2020-07-09,17581929
33.83,34.04,33.485,33.66,2020-07-10,19286781
35.21,35.72,34.52,34.73,2020-07-13,46322453
35.235,35.42,34.88,35.37,2020-07-14,25768439
35.72,36.0,35.47,35.99,2020-07-15,21564335
35.62,35.64,35.255,35.6,2020-07-16,15502452
36.24,36.33,35.725,35.86,2020-07-17,20611879
36.5,37.62,36.32,37.49,2020-07-20,30980931
36.69,37.0792,36.52,36.94,2020-07-21,20517313
38.565,38.73,37.52,38.23,2020-07-22,76197110
38.42,39.42,38.32,39.23,2020-07-23,42780824
37.67,38.15,37.325,38.03,2020-07-24,27487083
37.6,37.75,37.23,37.36,2020-07-27,22810068
39.03,39.335,38.06,38.54,2020-07-28,80246712
39.27,39.45,38.45,39.3,2020-07-29,66014232
38.74,38.94,38.2009,38.28,2020-07-30,57922080
38.48,38.75,37.86,38.67,2020-07-31,43384156
38.36,38.66,38.24,38.61,2020-08-03,27225104
38.39,38.68,38.09,38.31,2020-08-04,41279540
38.44,38.53,38.13,38.47,2020-08-05,33178765
38.2798,39.1,38.151,38.77,2020-08-06,36220406
38.45,38.615,38.16,38.3,2020-08-07,38576542
38.42,38.66,38.26,38.5018,2020-08-10,23493716
37.8,38.58,37.675,38.56,2020-08-11,35774409
38.34,38.55,37.81,37.83,2020-08-12,33983446
38.17,38.18,37.88,38.07,2020-08-13,13541294
38.06,38.39,37.93,38.01,2020-08-14,10701617
38.36,38.41,37.945,38.04,2020-08-17,28665958
38.36,38.46,38.17,38.45,2020-08-18,16897838
38.26,38.6062,38.12,38.48,2020-08-19,24751154
38.73,38.79,38.1301,38.18,2020-08-20,36280616
38.88,39.0,38.57,38.91,2020-08-21,41254306
38.84,39.04,38.54,39.02,2020-08-24,35913728
38.405,38.56,37.95,38.51,2020-08-25,46299399
38.07,38.27,37.66,38.19,2020-08-26,41755044
37.87,38.0,37.68,37.96,2020-08-27,34914881
37.91,38.06,37.4,37.87,2020-08-28,41463938
37.76,38.02,37.5,37.84,2020-08-31,45068576
36.88,37.82,36.51,37.79,2020-09-01,60742624
37.17,37.3,36.4,36.7699,2020-09-02,46395828
36.37,37.49,36.1,37.37,2020-09-03,61335571
36.36,36.63,35.87,36.49,2020-09-04,42774557
35.915,36.61,35.68,36.53,2020-09-08,43626271
36.185,36.65,36.14,36.29,2020-09-09,38000459
35.64,36.27,35.5831,36.105,2020-09-10,30684647
36.07,36.11,35.45,35.74,2020-09-11,41126792
37.01,37.5384,36.28,36.36,2020-09-14,49985067
36.95,37.35,36.81,37.19,2020-09-15,17954058
36.79,37.31,36.72,37.28,2020-09-16,16745361
36.81,36.95,36.55,36.78,2020-09-17,12641157
36.63,37.07,36.57,36.78,2020-09-18,21418786
36.03,36.48,35.375,36.37,2020-09-21,21347832
36.255,36.33,35.74,35.81,2020-09-22,19031807
36.0,36.3779,35.965,36.34,2020-09-23,18109089
35.76,36.04,35.54,35.95,2020-09-24,17826964
36.05,36.15,35.52,35.54,2020-09-25,11157890
36.41,36.575,36.16,36.16,2020-09-28,11631390
36.17,36.54,36.035,36.43,2020-09-29,20717155
36.68,36.959,36.25,36.27,2020-09-30,28860421
36.37,37.09,36.1628,36.91,2020-10-01,35619937
36.37,36.66,36.03,36.06,2020-10-02,27955949
36.74,36.88,36.34,36.53,2020-10-05,24664990
36.15,37.03,36.09,37.0,2020-10-06,35068797
36.46,36.59,36.03,36.26,2020-10-07,34428771
36.89,38.1,36.51,36.6,2020-10-08,27800195
36.78,37.1174,36.59,36.83,2020-10-09,29756631
36.82,37.18,36.465,36.7,2020-10-12,32255389
36.89,37.125,36.63,36.67,2020-10-13,36867135
36.86,37.3,36.57,37.01,2020-10-14,34768040
36.55,36.74,36.41,36.63,2020-10-15,24180119
37.96,38.12,37.02,37.07,2020-10-16,73118411
37.81,38.8479,37.64,38.42,2020-10-19,49666417
37.5,37.89,37.35,37.87,2020-10-20,33398376
37.07,37.45,37.06,37.355,2020-10-21,26105833
37.43,37.57,37.03,37.08,2020-10-22,26674071
38.19,38.285,37.65,37.93,2020-10-23,44161510
37.97,38.02,37.48,37.87,2020-10-26,50340625
37.42,38.12,36.87,37.04,2020-10-27,54209033
35.445,37.13,35.32,36.8,2020-10-28,48961700
35.27,35.64,34.6,35.48,2020-10-29,45430653
35.485,35.535,34.84,35.24,2020-10-30,38617076
36.23,36.25,35.54,35.93,2020-11-02,30517646
36.19,36.62,36.08,36.43,2020-11-03,32535188
37.3499,38.12,36.96,37.06,2020-11-04,66746491
36.39,37.3,36.39,37.25,2020-11-05,52501793
36.3998,36.72,36.09,36.39,2020-11-06,40636488
39.195,41.99,38.38,41.86,2020-11-09,365226048
38.68,40.54,38.46,40.45,2020-11-10,137078032
38.52,40.2,37.9,38.88,2020-11-11,105684668
37.55,38.34,37.24,38.28,2020-11-12,82924535
38.47,38.56,37.705,37.87,2020-11-13,54481764
37.35,37.95,36.85,37.86,2020-11-16,129941973
36.04,36.5,35.82,36.4888,2020-11-17,81518466
36.31,37.42,36.3,36.93,2020-11-18,112528158
36.18,36.63,35.86,36.6,2020-11-19,79847124
36.7,37.31,36.44,36.7,2020-11-20,107395674
36.5199,37.09,36.21,37.03,2020-11-23,78369535
36.6,36.74,36.02,36.13,2020-11-24,72750310
36.5201,36.56,36.24,36.53,2020-11-25,46786483
37.255,37.26,36.75,36.78,2020-11-27,47660245
38.31,38.8,37.6,37.95,2020-11-30,51219189
39.4001,40.5,39.01,39.4,2020-12-01,68347801
40.8,41.41,40.3,40.47,2020-12-02,74904804
40.1,41.03,39.52,40.98,2020-12-03,61795127
40.35,40.45,39.89,39.89,2020-12-04,31294380
41.25,41.4,40.37,40.66,2020-12-07,42317024
42.55,42.77,41.35,41.4,2020-12-08,80661298
41.85,43.0797,41.13,43.07,2020-12-09,79825562
41.73,42.22,41.445,41.82,2020-12-10,47842903
41.12,42.07,40.69,41.97,2020-12-11,52667476
39.21,41.66,39.07,41.62,2020-12-14,84394301
38.72,39.18,38.21,39.06,2020-12-15,58936992
37.85,38.47,37.74,38.18,2020-12-16,49101030
38.03,38.12,37.31,37.83,2020-12-17,44836246
37.69,38.09,37.5,37.99,2020-12-18,41535254
37.38,37.4,36.91,37.28,2020-12-21,32721383
36.74,37.33,36.605,37.21,2020-12-22,30683636
37.44,37.65,36.88,37.01,2020-12-23,31264708
37.28,37.57,37.18,37.4,2020-12-24,14104554
36.82,37.58,36.68,37.36,2020-12-28,25468789
37.04,37.2,36.79,36.9,2020-12-29,21158263
36.75,37.24,36.7,37.03,2020-12-30,21644619
36.79,36.92,36.29,36.66,2020-12-31,26449409
